trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
35,False,"{'a': 0.5, 'e': 0.493074620618078}",30,8,-103.9327329375115,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 2}",1
36,False,"{'a': 0.5, 'e': 0.48321312820571644}",25,0,-109.36530694079694,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.4735488656416021}",20,0,-26.413460532253765,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.46407788832877006}",25,14,12.783393351479102,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.4547963305621946}",20,0,-28.34713577883743,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.44570040395095073}",30,0,-53.57985559758217,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.4367863958719317}",30,11,-22.86766506065477,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.42805066795449304}",25,7,-90.16708565631744,"{0: 13, 1: 0, 2: 1, 3: 3, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.41948965459540316}",25,0,-38.1700601010932,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.4110998615034951}",25,0,-15.034576482499961,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.4028778642734252}",20,0,-98.79678480106253,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",1
46,False,"{'a': 0.5, 'e': 0.3948203069879567}",20,9,-4.1341026536459,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.38692390084819756}",25,0,-47.75384695684424,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.3791854228312336}",20,8,-31.58410477586433,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.3716017143746089}",30,12,-82.21221815686702,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 2}",1
50,False,"{'a': 0.5, 'e': 0.36416968008711675}",20,0,-96.12132091019897,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.3568862864853744}",20,9,7.982138008054962,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.3497485607556669}",20,8,-30.323054064934333,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.34275358954055357}",20,0,4.307535506812541,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.3358985177497425}",20,12,-0.271518658319162,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.3291805473947476}",20,12,-10.325718392586657,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.32259693644685267}",20,2,-55.608178165031234,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.3161449977179156}",20,5,-17.58459870273322,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.3098220977635573}",20,0,-99.23853386356599,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.30362565580828615}",20,0,-16.467942601275354,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.2975531426921204}",30,0,-76.07339226724255,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.291602079838278}",20,11,-21.318751081515614,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.2857700382415124}",20,4,17.97618985896575,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.2800546374766822}",25,0,-17.283591962338434,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.2744535447271485}",25,12,12.237280749911914,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.2689644738326056}",20,0,-19.053169098178923,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.26358518435595346}",35,21,-1.8768856526564015,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.25831348066883436}",25,15,-26.047068212473214,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.2531472110554577}",20,3,-73.44051365708555,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
69,False,"{'a': 0.5, 'e': 0.2480842668343485}",20,14,13.004202339592178,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.24312258149766153}",30,20,-31.795858382863045,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.2382601298677083}",25,13,-43.1601766771868,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.23349492727035415}",25,13,-3.593597299953318,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.22882502872494706}",25,0,-22.4767785798541,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.2242485281504481}",30,18,-15.772347621517564,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.21976355758743912}",30,12,-4.61459661445609,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.21536828643569034}",20,6,-40.094069775198925,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.21106092070697655}",30,11,30.42210952853466,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.206839702292837}",25,15,-26.49128501702518,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.20270290824698026}",25,0,-61.74017652381211,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
